,Name,Distance,Mass,Radius
715,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999
717,2MASS J00345157+0523050,31.0,0.040092696000000004,0.0965972199999999
719,2MASS 0036+1821,28.6,0.040092696000000004,0.0965972199999999
721,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
723,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999
725,2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999
727,2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999
729,2MASSI J0103320+193536,70.0,0.049638576000000004,0.1007077399999999
731,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.1007077399999999
733,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
735,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
737,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999
739,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999
741,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
743,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
745,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999
747,2MASS J02431371−2453298,35.0,0.031501404000000004,0.1017353699999999
749,LP 771-21,53.0,0.074457864,0.11098404
751,Teegarden's star,12.578,0.07636704,0.1305090099999999
753,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999
755,WISE J0254+0223,24.0,0.06204822,0.1952496999999999
757,DEN 0255-4700,16.2,0.07636704,0.0996801099999999
759,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999
761,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999
763,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
765,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999
767,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999
769,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999
771,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
773,LP 944-20,20.9,0.069684924,0.1469510899999999
775,2MASP J0345432+254023,88.0,0.070639512,0.10790115
777,Teide 1,380.0,0.05250234,0.3884441399999999
779,2MASS J03510004-0052452,48.0,0.09736797600000001,0.1305090099999999
781,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
783,2MASS J04151954−0935066,18.6,0.028637640000000002,0.0976248499999999
785,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167
787,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999
789,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999
791,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999
793,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999
795,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
797,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999
799,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
801,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.1418129399999999
803,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999
805,2MASS J0523−1403,40.0,0.064911984,0.10379063
807,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
809,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999
811,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
813,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999
815,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
